radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,400,2,1312,64013,0,45.835757,40.924885,4547,266,1,1238981944,1238981944,0
GSM,400,2,1312,65121,0,45.79236,40.937412,4743,433,1,1238981944,1238981944,0
GSM,400,2,1312,65123,0,45.72391,40.959752,2095,156,1,1238981912,1238981912,0
GSM,400,2,1312,62052,0,45.687435,40.971174,2667,94,1,1238981918,1238981918,0
GSM,400,2,1312,61561,0,45.682376,40.972406,1000,46,1,1238981916,1238981916,0
GSM,400,2,1312,61512,0,45.668553,40.977966,1000,43,1,1238981917,1238981917,0
GSM,400,2,1312,61562,0,45.662441,40.978489,1000,8,1,1238981917,1238981917,0
GSM,400,2,1312,61563,0,45.652958,40.982055,1423,97,1,1238981920,1238981920,0
GSM,400,2,1312,60481,0,45.644142,40.984394,1857,40,1,1238981921,1238981921,0
GSM,400,2,1312,63002,0,45.62722,40.991738,1000,44,1,1238981921,1238981921,0
GSM,400,2,1312,63001,0,45.641696,41.047897,6058,39,1,1238981931,1238981931,0
GSM,400,2,572,63012,0,46.362991333008,40.669326782227,1000,13,1,1238981922,1238981922,0
GSM,400,2,572,61062,0,46.359299,40.67739,1000,334,1,1238982058,1238982058,0
GSM,400,2,1312,62051,0,45.642313,41.048283,1000,399,1,1238981931,1238981931,0
GSM,400,2,1316,31023,0,47.111723,40.375586,1000,105,1,1238981939,1238981939,0
GSM,400,2,1316,31022,0,47.116052,40.373335,1583,174,1,1238982038,1238982038,0
GSM,400,2,1316,32023,0,47.125817,40.364413,1726,585,1,1238982087,1238982087,0
GSM,400,2,1316,32081,0,47.11791,40.372402,1396,14,1,1238982037,1238982037,0
GSM,400,2,1316,31561,0,47.112808,40.375099,1000,4,1,1238981939,1238981939,0
GSM,400,2,1316,32021,0,47.127012,40.36428,3126,1339,1,1238982087,1238982087,0
GSM,400,2,1316,32073,0,47.148428,40.356662,2015,173,1,1238982087,1238982087,0
GSM,400,2,1316,31603,0,47.209625,40.251503,1442,8,1,1238981947,1238981947,0
GSM,400,2,572,62032,0,46.358871,40.681062,1000,22,1,1238981991,1238981991,0
GSM,400,2,1360,60042,0,49.842910766602,40.386428833008,1000,3,1,1238981956,1238981956,0
GSM,400,2,572,61112,0,46.35612487793,40.654220581055,1000,34,1,1238981957,1238981957,0
GSM,400,2,572,61113,0,46.35612487793,40.654220581055,1000,37,1,1238981957,1238981957,0
GSM,400,2,572,61201,0,46.372604370117,40.696792602539,1000,1,1,1238981960,1238981960,0
GSM,400,2,572,64062,0,46.383934,40.683403,1000,4,1,1238981960,1238981960,0
GSM,400,2,1312,61041,0,46.020188,40.832865,1340,402,1,1238981988,1238981988,0
GSM,400,2,1312,65053,0,46.026102,40.842021,4565,387,1,1238981987,1238981987,0
GSM,400,2,1312,61043,0,46.0083,40.824618,2304,226,1,1238981987,1238981987,0
GSM,400,2,1312,62043,0,46.023955,40.829903,1000,223,1,1238981985,1238981985,0
GSM,400,2,1312,62041,0,46.023788,40.837154,1000,24,1,1238981971,1238981971,0
GSM,400,2,1312,61042,0,46.028824,40.826263,1000,18,1,1238981980,1238981980,0
GSM,400,2,1312,62042,0,46.027908325195,40.827255249023,1000,30,1,1238981980,1238981980,0
GSM,400,2,1376,32471,0,49.636917114258,40.558090209961,1000,1,1,1238981991,1238981991,0
GSM,400,2,572,61023,0,46.360244750977,40.67756652832,1000,1,1,1238981992,1238981992,0
GSM,400,2,1362,60661,0,49.859390258789,40.404281616211,1000,1,1,1238981994,1238981994,0
GSM,400,2,1330,41081,0,49.608231,40.531998,1000,18,1,1238981994,1238981994,0
GSM,400,2,1396,31483,0,49.606705,40.531632,1045,15,1,1238981997,1238981997,0
GSM,400,2,1396,62515,0,49.59771,40.531518,8938,40,1,1238982083,1238982083,0
GSM,400,2,1376,30042,0,49.59465,40.531998,1000,9,1,1238981997,1238981997,0
GSM,400,2,1376,30032,0,49.594431,40.531998,1000,32,1,1238981997,1238981997,0
GSM,400,2,1376,32453,0,49.594345092773,40.531997680664,1000,2,1,1238981996,1238981996,0
GSM,400,2,1396,31481,0,49.60807800293,40.531997680664,1000,2,1,1238981997,1238981997,0
GSM,400,2,1388,30273,0,49.836044311523,40.481185913086,1000,1,1,1238982003,1238982003,0
GSM,400,2,1388,30272,0,49.837189,40.481186,1000,12,1,1238982003,1238982003,0
GSM,400,2,1388,30271,0,49.845882,40.48201,1000,55,1,1238982010,1238982010,0
GSM,400,2,1392,63041,0,49.934464,40.46196,1000,12,1,1238982011,1238982011,0
GSM,400,2,1392,62413,0,49.940929,40.46196,1000,16,1,1238982011,1238982011,0
GSM,400,2,1392,62411,0,49.944534301758,40.468826293945,1000,1,1,1238982011,1238982011,0
GSM,400,2,1392,61575,0,49.950027,40.477066,1000,4,1,1238982011,1238982011,0
GSM,400,2,1392,61571,0,49.954726,40.486318,1000,19,1,1238982011,1238982011,0
GSM,400,2,1388,31131,0,49.966581,40.501099,3153,54,1,1238982017,1238982017,0
GSM,400,2,1388,31145,0,49.990978,40.51552,3039,28,1,1238982020,1238982020,0
GSM,400,2,1388,62123,0,49.973831,40.50499,1000,6,1,1238982014,1238982014,0
GSM,400,2,1390,31381,0,50.233716,40.485764,1368,33,1,1238982028,1238982028,0
GSM,400,2,1390,31211,0,50.231964,40.48613,1101,20,1,1238982028,1238982028,0
GSM,400,2,1378,63162,0,49.867630004883,40.371322631836,1000,99,1,1238982051,1238982051,0
GSM,400,2,1386,61173,0,49.867630004883,40.371322631836,1000,22,1,1238982052,1238982052,0
GSM,400,2,1386,60951,0,49.867630004883,40.371322631836,1000,22,1,1238982052,1238982052,0
GSM,400,2,1348,60084,0,49.867630004883,40.371322631836,1000,51,1,1238982053,1238982053,0
GSM,400,2,1348,60174,0,49.867630004883,40.371322631836,1000,111,1,1238982053,1238982053,0
GSM,400,2,1378,62161,0,49.867630004883,40.371322631836,1000,31,1,1238982051,1238982051,0
GSM,400,2,1386,61702,0,49.867630004883,40.371322631836,1000,94,1,1238982052,1238982052,0
GSM,400,2,1380,61693,0,49.867586,40.371278,1000,31,1,1238982050,1238982050,0
GSM,400,2,1380,62243,0,49.867607,40.371323,1000,60,1,1238982053,1238982053,0
GSM,400,2,1380,60963,0,49.867573,40.371323,1000,24,1,1238982053,1238982053,0
GSM,400,2,1380,61076,0,49.867630004883,40.371322631836,1000,22,1,1238982048,1238982048,0
GSM,400,2,1348,60081,0,49.867630004883,40.371322631836,1000,1,1,1238982042,1238982042,0
GSM,400,2,1355,60264,0,49.867630004883,40.371322631836,1000,4,1,1238982044,1238982044,0
GSM,400,2,1378,62166,0,49.867630004883,40.371322631836,1000,11,1,1238982046,1238982046,0
GSM,400,2,1362,60705,0,49.867630004883,40.371322631836,1000,19,1,1238982051,1238982051,0
GSM,400,2,1386,60953,0,49.867630004883,40.371322631836,1000,1,1,1238982044,1238982044,0
